Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/attendance/today,377,377,21,24.45711830210321,9.041900004376657,149.9560000083875,169.0,6.451288442266853,6.451288442266853,21,25,27,29,38,54,75,91,150,150,150
GET,/api/v1/audit/logs,163,0,19,22.135171165976935,9.596700008842163,85.61829999962356,14179.0,2.789283862306358,0.0,19,24,26,27,32,43,73,75,86,86,86
GET,/api/v1/auth/me,839,0,19,21.285697735538147,7.71550000354182,135.1829000050202,514.0,14.357111413957266,0.0,19,22,25,27,32,39,54,68,140,140,140
GET,/api/v1/employees,188,0,18,21.809268617328193,7.820500002708286,77.1076999953948,1720.0,3.217088135666229,0.0,18,24,27,28,34,40,53,63,77,77,77
GET,/api/v1/interviews,352,0,21,23.733662499663215,8.825500000966713,86.8754999974044,353.0,6.0234841689069825,0.0,21,26,29,31,38,49,62,69,87,87,87
GET,/api/v1/policies,207,0,18,20.746703864570712,8.00129999697674,82.15190000191797,114.0,3.542219383419731,0.0,18,21,24,25,33,42,63,75,82,82,82
GET,/api/v1/recruitment/applications,165,0,21,25.6343327277467,10.304700001142919,111.2340999970911,3254.0,2.823508204175148,0.0,21,26,30,33,42,54,75,92,110,110,110
GET,/api/v1/recruitment/candidates,381,0,20,22.591937007245015,9.303600003477186,132.05410000227857,1850.0,6.519737126004432,0.0,20,24,27,28,33,42,54,69,130,130,130
GET,/api/v1/recruitment/dashboard,512,0,26,29.962038671328628,12.798700001440011,124.14040000294335,281.0,8.761431518410156,0.0,26,32,35,37,46,61,78,92,120,120,120
GET,/api/v1/recruitment/jobs,732,0,20,22.52767513666106,8.663100001285784,140.34240000182763,2262.0,12.526109123977019,0.0,20,23,26,27,35,44,59,76,140,140,140
GET,/health,391,0,4,5.18447672661669,1.8887000042013824,70.11479999346193,496.0,6.690858835348381,0.0,4,5,6,6,8,9,16,25,70,70,70
,Aggregated,4307,377,19,21.855391595001343,1.8887000042013824,149.9560000083875,1512.1202693289993,73.70212021443855,6.451288442266853,19,24,27,29,36,45,63,76,130,150,150
